"Month","country_name","Year","Total_imp","Pref_Trade","Eligible_Trade","Total_volume","Pref_Volume","Eligible_Volume","uk_trade_agreement","uk_agreement_name","uk_dcts_tier","uk_dcts"
1,"Ethiopia",2023,3438794,1354226,1704706,760706,314093,376675,FALSE,NA,"Comprehensive",TRUE
1,"Ethiopia",2024,3135912,1403844,1763262,879319,392968,458067,FALSE,NA,"Comprehensive",TRUE
1,"Ethiopia",2025,3450670,880249,1480706,1016443,263339,359610,FALSE,NA,"Comprehensive",TRUE
1,"Ethiopia",2026,3602650,554998,578854,995259,228283,234937,FALSE,NA,"Comprehensive",TRUE
1,"European Union",2022,2701845153,2336968214,2396317096,1783664202,1378662271,1403405104,TRUE,"UK-EU Trade and Cooperation Agreement",NA,FALSE
1,"European Union",2023,3078429806,2669399887,2726308268,1605178919,1219140849,1239592060,TRUE,"UK-EU Trade and Cooperation Agreement",NA,FALSE
1,"European Union",2024,3330846301,2898560616,2961926907,1808219708,1334445480,1351365346,TRUE,"UK-EU Trade and Cooperation Agreement",NA,FALSE
1,"European Union",2025,3100823213,2719014877,2776118266,1630772827,1269060812,1281313137,TRUE,"UK-EU Trade and Cooperation Agreement",NA,FALSE
1,"European Union",2026,3265600583,2828894699,2905905442,1561294222,1175539346,1200053264,TRUE,"UK-EU Trade and Cooperation Agreement",NA,FALSE
1,"Falkland Islands",2023,96855,96855,96855,24612,24612,24612,FALSE,NA,NA,FALSE
1,"Falkland Islands",2024,76349,68769,76349,48551,47295,48551,FALSE,NA,NA,FALSE
1,"Falkland Islands",2025,22827,0,22827,3469,0,3469,FALSE,NA,NA,FALSE
1,"Falkland Islands",2026,74844,71261,74844,24921,24212,24921,FALSE,NA,NA,FALSE
1,"Faroe Islands",2022,23130818,18630192,21632124,6534512,3338560,5332060,TRUE,"UK-Faroe Islands Free Trade Agreement",NA,FALSE
1,"Faroe Islands",2023,23258753,21262180,23240734,3657463,3530547,3641547,TRUE,"UK-Faroe Islands Free Trade Agreement",NA,FALSE
1,"Faroe Islands",2024,29929003,22693351,29929003,6723960,2818431,6723960,TRUE,"UK-Faroe Islands Free Trade Agreement",NA,FALSE
1,"Faroe Islands",2025,17898995,14369927,17898995,4068220,1691925,4068220,TRUE,"UK-Faroe Islands Free Trade Agreement",NA,FALSE
1,"Faroe Islands",2026,21736646,21734679,21736646,5188808,5188496,5188808,TRUE,"UK-Faroe Islands Free Trade Agreement",NA,FALSE
1,"Fiji",2022,496706,0,0,1269181,0,0,TRUE,"UK-Pacific Economic Partnership Agreement",NA,FALSE
1,"Fiji",2023,280720,2339,2339,575469,204,204,TRUE,"UK-Pacific Economic Partnership Agreement",NA,FALSE
1,"Fiji",2024,699700,2227,2227,693814,215,215,TRUE,"UK-Pacific Economic Partnership Agreement",NA,FALSE
1,"Fiji",2025,127707,3664,15329,89684,294,500,TRUE,"UK-Pacific Economic Partnership Agreement",NA,FALSE
1,"Fiji",2026,144661,12218,12218,138896,2933,2933,TRUE,"UK-Pacific Economic Partnership Agreement",NA,FALSE
1,"French Polynesia",2023,5628,0,0,23,0,0,FALSE,NA,NA,FALSE
1,"Gabon",2024,15458,0,0,24808,0,0,FALSE,NA,NA,FALSE
1,"Gambia",2022,240094,236177,240094,81265,80345,81265,FALSE,NA,"Comprehensive",TRUE
1,"Gambia",2023,225777,225777,225777,74808,74808,74808,FALSE,NA,"Comprehensive",TRUE
1,"Gambia",2024,469176,469176,469176,148191,148191,148191,FALSE,NA,"Comprehensive",TRUE
1,"Gambia",2025,388832,367804,367804,131148,123998,123998,FALSE,NA,"Comprehensive",TRUE
1,"Gambia",2026,416636,416636,416636,162665,162665,162665,FALSE,NA,"Comprehensive",TRUE
1,"Georgia",2022,138402,0,93026,108562,0,31507,TRUE,"UK-Georgia Strategic Partnership and Cooperation Agreement",NA,FALSE
1,"Georgia",2023,135908,106453,121017,38241,28335,29727,TRUE,"UK-Georgia Strategic Partnership and Cooperation Agreement",NA,FALSE
1,"Georgia",2024,135556,116189,122591,53494,35496,36328,TRUE,"UK-Georgia Strategic Partnership and Cooperation Agreement",NA,FALSE
1,"Georgia",2025,419386,353490,395663,211153,165918,204498,TRUE,"UK-Georgia Strategic Partnership and Cooperation Agreement",NA,FALSE
1,"Georgia",2026,452256,386494,388529,148716,95156,95548,TRUE,"UK-Georgia Strategic Partnership and Cooperation Agreement",NA,FALSE
1,"Ghana",2022,15273915,5683683,5799235,9031635,4556193,4629551,TRUE,"UK-Ghana Interim Trade Partnership Agreement",NA,FALSE
1,"Ghana",2023,10340720,7616576,7636352,5038477,4514149,4522538,TRUE,"UK-Ghana Interim Trade Partnership Agreement",NA,FALSE
1,"Ghana",2024,12077524,7121559,7247500,7242112,5563328,5610107,TRUE,"UK-Ghana Interim Trade Partnership Agreement",NA,FALSE
1,"Ghana",2025,13166825,8304598,8625224,6224939,4631388,4724657,TRUE,"UK-Ghana Interim Trade Partnership Agreement",NA,FALSE
1,"Ghana",2026,15752640,11268762,11385113,6831011,5239783,5266642,TRUE,"UK-Ghana Interim Trade Partnership Agreement",NA,FALSE
1,"Greenland",2022,8521596,0,0,1158684,0,0,FALSE,NA,NA,FALSE
1,"Greenland",2023,7142639,0,0,942083,0,0,FALSE,NA,NA,FALSE
